#Kbase_ID	Type	Strand	Start	End	Function
	source	plus	1	4007882	
Bacterial_genome_Nanuq_01May2018.CDS.2410	gene	plus	2134498	2136150	ATP-dependent protease La (EC 3.4.21.53) LonB Type I
Bacterial_genome_Nanuq_01May2018.CDS.2411	gene	plus	2136349	2138673	ATP-dependent protease La (EC 3.4.21.53) Type I
Bacterial_genome_Nanuq_01May2018.CDS.2412	gene	plus	2138670	2139257	GTP-binding protein EngB
Bacterial_genome_Nanuq_01May2018.CDS.2414	gene	plus	2139976	2141343	Glutamyl-tRNA reductase (EC 1.2.1.70)
Bacterial_genome_Nanuq_01May2018.CDS.2415	gene	plus	2141351	2141839	HemX protein, negative effector of steady-state concentration of glutamyl-tRNA reductase
Bacterial_genome_Nanuq_01May2018.CDS.2416	gene	plus	2141866	2142180	HemX protein, negative effector of steady-state concentration of glutamyl-tRNA reductase
Bacterial_genome_Nanuq_01May2018.CDS.2417	gene	plus	2142215	2143156	Porphobilinogen deaminase (EC 2.5.1.61)
Bacterial_genome_Nanuq_01May2018.CDS.2418	gene	plus	2143146	2143928	Uroporphyrinogen-III synthase (EC 4.2.1.75)
Bacterial_genome_Nanuq_01May2018.CDS.2419	gene	plus	2143928	2144905	Porphobilinogen synthase (EC 4.2.1.24)
Bacterial_genome_Nanuq_01May2018.CDS.2420	gene	plus	2144934	2146223	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)
Bacterial_genome_Nanuq_01May2018.CDS.2421	gene	plus	2146356	2148272	Stage VI sporulation protein D
Bacterial_genome_Nanuq_01May2018.CDS.2422	gene	plus	2148294	2149328	unknown
Bacterial_genome_Nanuq_01May2018.CDS.2424	gene	plus	2149987	2152629	Valyl-tRNA synthetase (EC 6.1.1.9)
Bacterial_genome_Nanuq_01May2018.CDS.2425	gene	plus	2152688	2153980	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)
Bacterial_genome_Nanuq_01May2018.CDS.2426	gene	plus	2154179	2154871	Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)
Bacterial_genome_Nanuq_01May2018.CDS.2427	gene	plus	2154998	2155999	Stage II sporulation protein B
Bacterial_genome_Nanuq_01May2018.CDS.2428	gene	plus	2156140	2156709	Septum formation protein Maf
Bacterial_genome_Nanuq_01May2018.CDS.2429	gene	plus	2156741	2157436	DNA repair protein RadC
Bacterial_genome_Nanuq_01May2018.CDS.2430	gene	plus	2157527	2158540	Rod shape-determining protein MreB
Bacterial_genome_Nanuq_01May2018.CDS.2431	gene	plus	2158571	2159434	Rod shape-determining protein MreC
Bacterial_genome_Nanuq_01May2018.CDS.2432	gene	plus	2159431	2159949	Rod shape-determining protein MreD
Bacterial_genome_Nanuq_01May2018.CDS.2433	gene	plus	2160002	2160682	Septum site-determining protein MinC
Bacterial_genome_Nanuq_01May2018.CDS.2434	gene	plus	2160685	2161488	Septum site-determining protein MinD
Bacterial_genome_Nanuq_01May2018.CDS.2435	gene	plus	2161616	2162419	Stage IV sporulation protein FA (SpoIVFA)
Bacterial_genome_Nanuq_01May2018.CDS.2436	gene	plus	2162412	2163278	Stage IV sporulation pro-sigma-K processing enzyme (SpoIVFB)
Bacterial_genome_Nanuq_01May2018.CDS.2437	gene	plus	2163424	2163732	LSU ribosomal protein L21p
Bacterial_genome_Nanuq_01May2018.CDS.2438	gene	plus	2163735	2164076	FIG139598: Potential ribosomal protein
Bacterial_genome_Nanuq_01May2018.CDS.2439	gene	plus	2164089	2164349	LSU ribosomal protein L27p
Bacterial_genome_Nanuq_01May2018.CDS.2440	gene	plus	2164690	2165268	Sporulation initiation phosphotransferase B (Spo0B)
Bacterial_genome_Nanuq_01May2018.CDS.2441	gene	plus	2165300	2166586	GTP-binding protein Obg
Bacterial_genome_Nanuq_01May2018.CDS.2442	gene	plus	2166640	2167083	ACT domain-containing protein
Bacterial_genome_Nanuq_01May2018.CDS.2443	gene	plus	2167097	2167954	Prephenate dehydratase (EC 4.2.1.51)
Bacterial_genome_Nanuq_01May2018.CDS.2446	gene	plus	2169779	2171389	L-aspartate oxidase (EC 1.4.3.16)
Bacterial_genome_Nanuq_01May2018.CDS.2447	gene	plus	2171349	2172173	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)
Bacterial_genome_Nanuq_01May2018.CDS.2448	gene	plus	2172175	2173278	Quinolinate synthetase (EC 2.5.1.72)
Bacterial_genome_Nanuq_01May2018.CDS.2449	gene	plus	2173405	2174610	Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)
Bacterial_genome_Nanuq_01May2018.CDS.2450	gene	plus	2174758	2175351	Sporulation cortex protein coxA
Bacterial_genome_Nanuq_01May2018.CDS.2452	gene	plus	2175737	2176246	bypass-of-forespore protein C, putative
Bacterial_genome_Nanuq_01May2018.CDS.2453	gene	plus	2176381	2176986	Holliday junction DNA helicase RuvA
Bacterial_genome_Nanuq_01May2018.CDS.2454	gene	plus	2176997	2178001	Holliday junction DNA helicase RuvB
Bacterial_genome_Nanuq_01May2018.CDS.2455	gene	plus	2177994	2178194	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2456	gene	plus	2178220	2179248	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)
Bacterial_genome_Nanuq_01May2018.CDS.2457	gene	plus	2179276	2180421	tRNA-guanine transglycosylase (EC 2.4.2.29)
Bacterial_genome_Nanuq_01May2018.CDS.2458	gene	plus	2180453	2180713	Preprotein translocase subunit YajC (TC 3.A.5.1.1)
Bacterial_genome_Nanuq_01May2018.CDS.2460	gene	plus	2181316	2181873	Ortholog yrbG, yetE, ykjA, ydfS, ydfR B.subtilis
Bacterial_genome_Nanuq_01May2018.CDS.2463	gene	plus	2183650	2183946	FIG01227478: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2464	gene	plus	2183983	2186202	Protein-export membrane protein SecD (TC 3.A.5.1.1) / Protein-export membrane protein SecF (TC 3.A.5.1.1)
Bacterial_genome_Nanuq_01May2018.CDS.2465	gene	plus	2186333	2186830	TrkA C-terminal domain protein
Bacterial_genome_Nanuq_01May2018.CDS.2466	gene	plus	2186894	2187220	unknown
Bacterial_genome_Nanuq_01May2018.CDS.2467	gene	plus	2187276	2189636	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)
Bacterial_genome_Nanuq_01May2018.CDS.2468	gene	plus	2189642	2190154	Adenine phosphoribosyltransferase (EC 2.4.2.7)
Bacterial_genome_Nanuq_01May2018.CDS.2469	gene	plus	2190312	2192516	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I
Bacterial_genome_Nanuq_01May2018.CDS.2470	gene	plus	2192529	2192972	D-tyrosyl-tRNA(Tyr) deacylase (EC 3.6.1.n1)
Bacterial_genome_Nanuq_01May2018.CDS.2472	gene	plus	2194693	2194863	YrzK
Bacterial_genome_Nanuq_01May2018.CDS.2473	gene	plus	2194956	2195123	
Bacterial_genome_Nanuq_01May2018.CDS.2474	gene	plus	2195219	2196493	Histidyl-tRNA synthetase (EC 6.1.1.21)
Bacterial_genome_Nanuq_01May2018.CDS.2475	gene	plus	2196508	2198286	Aspartyl-tRNA synthetase (EC 6.1.1.12)
Bacterial_genome_Nanuq_01May2018.CDS.2476	gene	plus	2198613	2199377	HesA/MoeB/ThiF family protein related to EC-YgdL
Bacterial_genome_Nanuq_01May2018.CDS.2478	gene	plus	2200916	2201332	Iron-sulfur cluster regulator IscR
Bacterial_genome_Nanuq_01May2018.CDS.2479	gene	plus	2201351	2202490	Cysteine desulfurase (EC 2.8.1.7)
Bacterial_genome_Nanuq_01May2018.CDS.2480	gene	plus	2202527	2203642	tRNA-specific 2-thiouridylase MnmA
Bacterial_genome_Nanuq_01May2018.CDS.2481	gene	plus	2203700	2204350	Tetratricopeptide repeat (TPR) family protein
Bacterial_genome_Nanuq_01May2018.CDS.2482	gene	plus	2204369	2206747	RecD-like DNA helicase YrrC
Bacterial_genome_Nanuq_01May2018.CDS.2483	gene	plus	2206865	2207323	BH1264 unknown conserved protein in B. subtilis
Bacterial_genome_Nanuq_01May2018.CDS.2484	gene	plus	2207336	2207527	BH1265 unknown
Bacterial_genome_Nanuq_01May2018.CDS.2485	gene	plus	2207549	2207680	
Bacterial_genome_Nanuq_01May2018.CDS.2490	gene	plus	2210893	2211954	UPF0118 membrane protein YrrI
Bacterial_genome_Nanuq_01May2018.CDS.2491	gene	plus	2212286	2213824	Alanyl-tRNA synthetase (EC 6.1.1.7)
Bacterial_genome_Nanuq_01May2018.CDS.2492	gene	plus	2213818	2214921	Alanyl-tRNA synthetase (EC 6.1.1.7)
Bacterial_genome_Nanuq_01May2018.CDS.2493	gene	plus	2215006	2215272	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase
Bacterial_genome_Nanuq_01May2018.CDS.2494	gene	plus	2215281	2215664	Putative Holliday junction resolvase YqgF
Bacterial_genome_Nanuq_01May2018.CDS.2495	gene	plus	2215709	2215990	Ortholog of S. aureus MRSA252 (BX571856) SAR1694
Bacterial_genome_Nanuq_01May2018.CDS.2496	gene	plus	2216100	2217191	FIG004453: protein YceG like
Bacterial_genome_Nanuq_01May2018.CDS.2497	gene	plus	2217343	2217996	FIG011945: O-methyltransferase family protein
Bacterial_genome_Nanuq_01May2018.CDS.2498	gene	plus	2218003	2218932	peptidase, U32 family small subunit [C1]
Bacterial_genome_Nanuq_01May2018.CDS.2499	gene	plus	2218950	2220218	peptidase, U32 family large subunit [C1]
Bacterial_genome_Nanuq_01May2018.CDS.2500	gene	plus	2220225	2220860	Uridine kinase (EC 2.7.1.48) [C1]
Bacterial_genome_Nanuq_01May2018.CDS.2501	gene	plus	2221114	2221587	Transcription elongation factor GreA
Bacterial_genome_Nanuq_01May2018.CDS.2502	gene	plus	2221640	2221993	Penicillin-binding protein 4B
Bacterial_genome_Nanuq_01May2018.CDS.2503	gene	plus	2221990	2222775	Penicillin-binding protein 4B
Bacterial_genome_Nanuq_01May2018.CDS.2504	gene	plus	2222760	2223392	Penicillin-binding protein 4B
Bacterial_genome_Nanuq_01May2018.CDS.2505	gene	plus	2223456	2224172	Hypothetical protein perhaps functionally coupled to transcription elongation factor GreA
Bacterial_genome_Nanuq_01May2018.CDS.2508	gene	plus	2224599	2225240	SAM-dependent methlytransferase YrrT
Bacterial_genome_Nanuq_01May2018.CDS.2509	gene	plus	2225261	2225956	5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)
Bacterial_genome_Nanuq_01May2018.CDS.2510	gene	plus	2226004	2226927	Cystathionine beta-synthase (EC 4.2.1.22)
Bacterial_genome_Nanuq_01May2018.CDS.2511	gene	plus	2226929	2228071	Cystathionine gamma-lyase (EC 4.4.1.1)
Bacterial_genome_Nanuq_01May2018.CDS.2512	gene	plus	2228155	2228385	unknown
Bacterial_genome_Nanuq_01May2018.CDS.2516	gene	plus	2232182	2232550	FIG01225689: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2517	gene	plus	2232813	2233613	Formate efflux transporter (TC 2.A.44 family)
Bacterial_genome_Nanuq_01May2018.CDS.2518	gene	plus	2233700	2233927	
Bacterial_genome_Nanuq_01May2018.CDS.2519	gene	plus	2234002	2234142	
Bacterial_genome_Nanuq_01May2018.CDS.2520	gene	plus	2234316	2234471	FIG01234257: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2521	gene	plus	2234643	2235182	FIG01230763: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2522	gene	plus	2235391	2235957	Transcriptional regulator, TetR family
Bacterial_genome_Nanuq_01May2018.CDS.2523	gene	plus	2235985	2239146	NADPH-cytochrome P450 reductase
Bacterial_genome_Nanuq_01May2018.CDS.2525	gene	plus	2240629	2241513	LysR family transcriptional regulator Bsu YybE
Bacterial_genome_Nanuq_01May2018.CDS.2526	gene	plus	2241581	2242063	Cys-tRNA(Pro) deacylase YbaK
Bacterial_genome_Nanuq_01May2018.CDS.2527	gene	plus	2242080	2242598	Outer membrane protein romA
Bacterial_genome_Nanuq_01May2018.CDS.2528	gene	plus	2242595	2243026	Outer membrane protein romA
Bacterial_genome_Nanuq_01May2018.CDS.2529	gene	plus	2243113	2243247	
Bacterial_genome_Nanuq_01May2018.CDS.2530	gene	plus	2243256	2245208	Activator of the mannose operon (transcriptional antiterminator), BglG family
Bacterial_genome_Nanuq_01May2018.CDS.2531	gene	plus	2245361	2247319	PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIC component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)
Bacterial_genome_Nanuq_01May2018.CDS.2532	gene	plus	2247333	2248280	Mannose-6-phosphate isomerase (EC 5.3.1.8)
Bacterial_genome_Nanuq_01May2018.CDS.2536	gene	plus	2249325	2250137	Hydrolase (HAD superfamily)
Bacterial_genome_Nanuq_01May2018.CDS.2537	gene	plus	2250171	2250974	N-formylglutamate deformylase (EC 3.5.1.68)
Bacterial_genome_Nanuq_01May2018.CDS.2538	gene	plus	2251728	2252195	DinB family protein
Bacterial_genome_Nanuq_01May2018.CDS.2539	gene	plus	2252334	2252858	Streptothricin acetyltransferase, Streptomyces lavendulae type
Bacterial_genome_Nanuq_01May2018.CDS.2540	gene	plus	2252897	2253034	
Bacterial_genome_Nanuq_01May2018.CDS.2541	gene	plus	2253068	2254444	Similar to tetracycline resistance protein
Bacterial_genome_Nanuq_01May2018.CDS.2542	gene	plus	2254918	2255454	unknown
Bacterial_genome_Nanuq_01May2018.CDS.2543	gene	plus	2255480	2255779	
Bacterial_genome_Nanuq_01May2018.CDS.2548	gene	plus	2260349	2261347	Lysine-specific permease
Bacterial_genome_Nanuq_01May2018.CDS.2549	gene	plus	2261380	2261604	Lysine-specific permease
Bacterial_genome_Nanuq_01May2018.CDS.2551	gene	plus	2262744	2263478	Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-)
Bacterial_genome_Nanuq_01May2018.CDS.2552	gene	plus	2263547	2264278	unknown
Bacterial_genome_Nanuq_01May2018.CDS.2553	gene	plus	2264353	2264487	
Bacterial_genome_Nanuq_01May2018.CDS.2555	gene	plus	2265117	2265635	FIG001553: Hydrolase, HAD subfamily IIIA
Bacterial_genome_Nanuq_01May2018.CDS.2556	gene	plus	2265638	2266738	GTP-binding protein YqeH, required for biogenesis of 30S ribosome subunit
Bacterial_genome_Nanuq_01May2018.CDS.2557	gene	plus	2266758	2267600	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)
Bacterial_genome_Nanuq_01May2018.CDS.2558	gene	plus	2267594	2267884	FIG004454: RNA binding protein
Bacterial_genome_Nanuq_01May2018.CDS.2559	gene	plus	2267895	2268464	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)
Bacterial_genome_Nanuq_01May2018.CDS.2560	gene	plus	2268454	2269014	Hydrolase (HAD superfamily), YqeK
Bacterial_genome_Nanuq_01May2018.CDS.2561	gene	plus	2269032	2269388	Ribosomal silencing factor RsfA
Bacterial_genome_Nanuq_01May2018.CDS.2562	gene	plus	2269385	2270122	FIG145533: Methyltransferase (EC 2.1.1.-)
Bacterial_genome_Nanuq_01May2018.CDS.2564	gene	plus	2271071	2271685	Late competence protein ComEA, DNA receptor
Bacterial_genome_Nanuq_01May2018.CDS.2565	gene	plus	2271752	2272321	dCMP deaminase (EC 3.5.4.12); Late competence protein ComEB
Bacterial_genome_Nanuq_01May2018.CDS.2566	gene	plus	2272322	2272870	Late competence protein ComEC, DNA transport
Bacterial_genome_Nanuq_01May2018.CDS.2567	gene	plus	2272909	2274672	Late competence protein ComEC, DNA transport
Bacterial_genome_Nanuq_01May2018.CDS.2569	gene	plus	2275060	2275344	DNA polymerase III delta subunit (EC 2.7.7.7)
Bacterial_genome_Nanuq_01May2018.CDS.2570	gene	plus	2275362	2276081	DNA polymerase III delta subunit (EC 2.7.7.7)
Bacterial_genome_Nanuq_01May2018.CDS.2572	gene	plus	2276586	2277692	Endopeptidase spore protease Gpr (EC 3.4.24.78)
Bacterial_genome_Nanuq_01May2018.CDS.2573	gene	plus	2277760	2278953	Stage II sporulation protein P
Bacterial_genome_Nanuq_01May2018.CDS.2574	gene	plus	2278970	2279308	FIG01227686: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2575	gene	plus	2279441	2281276	Translation elongation factor LepA
Bacterial_genome_Nanuq_01May2018.CDS.2576	gene	plus	2281336	2282475	Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type
Bacterial_genome_Nanuq_01May2018.CDS.2577	gene	plus	2282556	2283587	Heat-inducible transcription repressor HrcA
Bacterial_genome_Nanuq_01May2018.CDS.2578	gene	plus	2283647	2284222	Heat shock protein GrpE
Bacterial_genome_Nanuq_01May2018.CDS.2579	gene	plus	2284247	2286085	Chaperone protein DnaK
Bacterial_genome_Nanuq_01May2018.CDS.2580	gene	plus	2286271	2287398	Chaperone protein DnaJ
Bacterial_genome_Nanuq_01May2018.CDS.2581	gene	plus	2287422	2288363	Ribosomal protein L11 methyltransferase (EC 2.1.1.-)
Bacterial_genome_Nanuq_01May2018.CDS.2582	gene	plus	2288379	2289149	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)
Bacterial_genome_Nanuq_01May2018.CDS.2583	gene	plus	2289149	2290504	tRNA-t(6)A37 methylthiotransferase
Bacterial_genome_Nanuq_01May2018.CDS.2585	gene	plus	2291640	2291813	SSU ribosomal protein S21p
Bacterial_genome_Nanuq_01May2018.CDS.2586	gene	plus	2291828	2292274	Transamidase GatB domain protein
Bacterial_genome_Nanuq_01May2018.CDS.2587	gene	plus	2292396	2293712	Putative membrane-bound ClpP-class protease associated with aq_911
Bacterial_genome_Nanuq_01May2018.CDS.2588	gene	plus	2293737	2294333	DUF1432 domain-containing protein
Bacterial_genome_Nanuq_01May2018.CDS.2589	gene	plus	2294330	2294728	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2590	gene	plus	2294756	2294995	FIG01232279: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2591	gene	plus	2295010	2295189	unknown
Bacterial_genome_Nanuq_01May2018.CDS.2592	gene	plus	2295246	2295527	FIG01225215: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2593	gene	plus	2295545	2296729	Stage IV sporulation protein
Bacterial_genome_Nanuq_01May2018.CDS.2594	gene	plus	2296733	2297692	Phosphate starvation-inducible protein PhoH, predicted ATPase
Bacterial_genome_Nanuq_01May2018.CDS.2595	gene	plus	2297773	2299905	Membrane protein containing HD superfamily hydrolase domain, YQFF ortholog
Bacterial_genome_Nanuq_01May2018.CDS.2596	gene	plus	2299906	2300379	Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly
Bacterial_genome_Nanuq_01May2018.CDS.2597	gene	plus	2300354	2300734	Diacylglycerol kinase (EC 2.7.1.107)
Bacterial_genome_Nanuq_01May2018.CDS.2598	gene	plus	2300858	2301268	Cytidine deaminase (EC 3.5.4.5)
Bacterial_genome_Nanuq_01May2018.CDS.2599	gene	plus	2301249	2302154	GTP-binding protein Era
Bacterial_genome_Nanuq_01May2018.CDS.2600	gene	plus	2302310	2302453	hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2601	gene	plus	2302490	2303257	DNA recombination and repair protein RecO
Bacterial_genome_Nanuq_01May2018.CDS.2602	gene	plus	2303559	2304446	Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)
Bacterial_genome_Nanuq_01May2018.CDS.2603	gene	plus	2304439	2306334	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)
Bacterial_genome_Nanuq_01May2018.CDS.2604	gene	plus	2306319	2306477	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)
Bacterial_genome_Nanuq_01May2018.CDS.2605	gene	plus	2306575	2307216	similar to hypothetical proteins
Bacterial_genome_Nanuq_01May2018.CDS.2606	gene	plus	2307242	2308054	ATP/GTP-binding protein, SA1392 homolog
Bacterial_genome_Nanuq_01May2018.CDS.2607	gene	plus	2308310	2308816	probable P23 protein
Bacterial_genome_Nanuq_01May2018.CDS.2608	gene	plus	2308838	2310541	DNA primase (EC 2.7.7.-)
Bacterial_genome_Nanuq_01May2018.CDS.2609	gene	plus	2310538	2310648	DNA primase (EC 2.7.7.-)
Bacterial_genome_Nanuq_01May2018.CDS.2610	gene	plus	2310674	2310787	
Bacterial_genome_Nanuq_01May2018.CDS.2611	gene	plus	2310840	2311961	RNA polymerase sigma factor RpoD
Bacterial_genome_Nanuq_01May2018.CDS.2612	gene	plus	2312007	2312126	
Bacterial_genome_Nanuq_01May2018.CDS.2613	gene	plus	2312311	2312673	Membrane-attached cytochrome c550
Bacterial_genome_Nanuq_01May2018.CDS.2614	gene	plus	2312748	2313503	tRNA (adenine(22)-N(1))-methyltransferase (EC 2.1.1.217)
Bacterial_genome_Nanuq_01May2018.CDS.2615	gene	plus	2313496	2314617	UPF0135 protein Bsu YqfO @ Bsu YqfO NIF3/CutA domain
Bacterial_genome_Nanuq_01May2018.CDS.2618	gene	plus	2316563	2317792	ATP-dependent RNA helicase YqfR
Bacterial_genome_Nanuq_01May2018.CDS.2619	gene	plus	2317889	2318278	Endonuclease IV (EC 3.1.21.2)
Bacterial_genome_Nanuq_01May2018.CDS.2620	gene	plus	2318284	2318781	Endonuclease IV (EC 3.1.21.2)
Bacterial_genome_Nanuq_01May2018.CDS.2622	gene	plus	2319183	2320064	Uncharacterized membrane protein Bsu2508 (YqfU)
Bacterial_genome_Nanuq_01May2018.CDS.2623	gene	plus	2320188	2320598	Zinc uptake regulation protein ZUR
Bacterial_genome_Nanuq_01May2018.CDS.2625	gene	plus	2321351	2321722	unknown
Bacterial_genome_Nanuq_01May2018.CDS.2629	gene	plus	2324325	2324807	probable membrane protein NMA1128
Bacterial_genome_Nanuq_01May2018.CDS.2630	gene	plus	2324974	2325579	Manganese superoxide dismutase (EC 1.15.1.1)
Bacterial_genome_Nanuq_01May2018.CDS.2631	gene	plus	2325697	2326986	membrane protein, putative
Bacterial_genome_Nanuq_01May2018.CDS.2632	gene	plus	2327088	2329235	Uncharacterized protein YqgF
Bacterial_genome_Nanuq_01May2018.CDS.2633	gene	plus	2329390	2330292	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)
Bacterial_genome_Nanuq_01May2018.CDS.2634	gene	plus	2330341	2331270	Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
Bacterial_genome_Nanuq_01May2018.CDS.2635	gene	plus	2331270	2332154	Phosphate transport system permease protein PstA (TC 3.A.1.7.1)
Bacterial_genome_Nanuq_01May2018.CDS.2636	gene	plus	2332173	2332979	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
Bacterial_genome_Nanuq_01May2018.CDS.2637	gene	plus	2332991	2333773	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
Bacterial_genome_Nanuq_01May2018.CDS.2640	gene	plus	2335030	2335299	LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent
Bacterial_genome_Nanuq_01May2018.CDS.2641	gene	plus	2335256	2335810	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)
Bacterial_genome_Nanuq_01May2018.CDS.2642	gene	plus	2335881	2336054	unknown
Bacterial_genome_Nanuq_01May2018.CDS.2644	gene	plus	2337692	2337901	FIG01225596: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2645	gene	plus	2337936	2338898	Glucokinase (EC 2.7.1.2)
Bacterial_genome_Nanuq_01May2018.CDS.2646	gene	plus	2338981	2340108	Gamma-D-glutamyl-L-diamino acid endopeptidase I (EC 3.4.19.11)
Bacterial_genome_Nanuq_01May2018.CDS.2647	gene	plus	2340181	2341218	
Bacterial_genome_Nanuq_01May2018.CDS.2648	gene	plus	2341224	2341538	ExtraCellular Mutant; Ecm15p
Bacterial_genome_Nanuq_01May2018.CDS.2650	gene	plus	2341899	2342537	Similar to Hydroxyacylglutathione hydrolase, but in an organism lacking glutathione biosynthesis
Bacterial_genome_Nanuq_01May2018.CDS.2652	gene	plus	2343060	2343440	Arsenate reductase and related proteins, glutaredoxin family
Bacterial_genome_Nanuq_01May2018.CDS.2653	gene	plus	2343646	2344476	RsbR, positive regulator of sigma-B
Bacterial_genome_Nanuq_01May2018.CDS.2656	gene	plus	2345960	2346910	Magnesium and cobalt transport protein CorA
Bacterial_genome_Nanuq_01May2018.CDS.2657	gene	plus	2347102	2348172	Late competence protein ComGA, access of DNA to ComEA
Bacterial_genome_Nanuq_01May2018.CDS.2658	gene	plus	2348186	2349196	Late competence protein ComGB, access of DNA to ComEA
Bacterial_genome_Nanuq_01May2018.CDS.2659	gene	plus	2349201	2349509	Late competence protein ComGC, access of DNA to ComEA, FIG007487
Bacterial_genome_Nanuq_01May2018.CDS.2660	gene	plus	2349499	2349936	Late competence protein ComGD, access of DNA to ComEA, FIG012777
Bacterial_genome_Nanuq_01May2018.CDS.2661	gene	plus	2349914	2350234	Late competence protein ComGE, FIG015513
Bacterial_genome_Nanuq_01May2018.CDS.2662	gene	plus	2350248	2350643	Late competence protein ComGF, access of DNA to ComEA, FIG012620
Bacterial_genome_Nanuq_01May2018.CDS.2663	gene	plus	2350644	2351021	Late competence protein ComGG, FIG028917
Bacterial_genome_Nanuq_01May2018.CDS.2664	gene	plus	2351078	2351257	FIG01228056: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2667	gene	plus	2351886	2352557	YqxM protein, required for localization of TasA to extracellular matrix
Bacterial_genome_Nanuq_01May2018.CDS.2668	gene	plus	2352529	2353113	Signal peptidase SipW (EC 3.4.21.89), required for TasA secretion
Bacterial_genome_Nanuq_01May2018.CDS.2669	gene	plus	2353176	2353961	Stationary phase secreted protein TasA, major protein component of biofilm matrix
Bacterial_genome_Nanuq_01May2018.CDS.2672	gene	plus	2354580	2354723	
Bacterial_genome_Nanuq_01May2018.CDS.2676	gene	plus	2357630	2358499	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)
Bacterial_genome_Nanuq_01May2018.CDS.2677	gene	plus	2358496	2358780	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)
Bacterial_genome_Nanuq_01May2018.CDS.2678	gene	plus	2358743	2359603	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)
Bacterial_genome_Nanuq_01May2018.CDS.2679	gene	plus	2359603	2360088	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)
Bacterial_genome_Nanuq_01May2018.CDS.2680	gene	plus	2360081	2361556	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)
Bacterial_genome_Nanuq_01May2018.CDS.2681	gene	plus	2362181	2362294	Octanoate-[acyl-carrier-protein]-protein-N-oct anoyltransferase, LipM
Bacterial_genome_Nanuq_01May2018.CDS.2682	gene	plus	2362291	2363016	Octanoate-[acyl-carrier-protein]-protein-N-oct anoyltransferase, LipM
Bacterial_genome_Nanuq_01May2018.CDS.2683	gene	plus	2363116	2363544	Mn-dependent transcriptional regulator MntR
Bacterial_genome_Nanuq_01May2018.CDS.2684	gene	plus	2363700	2364473	lysophospholipase-like family protein
Bacterial_genome_Nanuq_01May2018.CDS.2687	gene	plus	2366131	2366253	
Bacterial_genome_Nanuq_01May2018.CDS.2688	gene	plus	2366300	2366512	FIG01225396: hypothetical protein
Bacterial_genome_Nanuq_01May2018.CDS.2689	gene	plus	2366509	2366658	FIG01225396: hypothetical protein
